OBJECTID,TRACT,GEOID,pop_percent,total_pop,white,black,american_indian,asian,pacific_islander,other,hispanic,ALAND,AWATER,STUSAB,SUMLEV,GEOCODE,STATE,NAME,SHAPEAREA,SHAPELEN
40,1902,11001001902,0.0030701404549376764,2117,466,1266,11,48,2,118,261,877346,0,DC,140,11001001902,11,Census Tract 19.02,0,0
41,2001,11001002001,0.004243377879616268,2926,669,1042,42,71,0,755,1106,632724,1132,DC,140,11001002001,11,Census Tract 20.01,0,0
42,2301,11001002301,0.00473645664894967,3266,1012,1455,20,125,1,307,551,407679,0,DC,140,11001002301,11,Census Tract 23.01,0,0
43,2302,11001002302,0.002555308210486625,1762,651,896,11,59,1,55,114,2010924,5298,DC,140,11001002302,11,Census Tract 23.02,0,0
44,2400,11001002400,0.005938698707118462,4095,1553,1501,30,148,1,405,751,556408,0,DC,140,11001002400,11,Census Tract 24,0,0
45,2501,11001002501,0.003898222741082888,2688,828,1100,8,61,0,365,613,543460,0,DC,140,11001002501,11,Census Tract 25.01,0,0
46,2503,11001002503,0.004395652205439819,3031,1131,962,8,159,0,447,712,292105,0,DC,140,11001002503,11,Census Tract 25.03,0,0
47,2504,11001002504,0.004856825877934,3349,1107,818,52,120,4,848,1316,311721,0,DC,140,11001002504,11,Census Tract 25.04,0,0
48,2600,11001002600,0.003759000500329928,2592,1067,835,12,159,1,207,409,2106150,60195,DC,140,11001002600,11,Census Tract 26,0,0
49,2702,11001002702,0.008447599504020768,5825,3305,626,36,246,4,810,1621,479022,7175,DC,140,11001002702,11,Census Tract 27.02,0,0
50,2703,11001002703,0.0037909055971691477,2614,1385,295,44,174,2,263,672,163863,0,DC,140,11001002703,11,Census Tract 27.03,0,0
51,2704,11001002704,0.004340543401808439,2993,1286,452,76,197,8,619,1008,295339,2427,DC,140,11001002704,11,Census Tract 27.04,0,0
52,2801,11001002801,0.006378118904494993,4398,1344,1469,70,230,7,865,1393,171910,0,DC,140,11001002801,11,Census Tract 28.01,0,0
53,2802,11001002802,0.006794335395079364,4685,1477,1048,36,307,5,1231,1836,229696,0,DC,140,11001002802,11,Census Tract 28.02,0,0
54,2900,11001002900,0.006443379329847943,4443,1956,892,59,212,2,812,1320,300632,0,DC,140,11001002900,11,Census Tract 29,0,0
55,3000,11001003000,0.005164274992930121,3561,1433,1339,16,215,5,264,524,210636,0,DC,140,11001003000,11,Census Tract 30,0,0
56,3100,11001003100,0.005616747275377242,3873,1637,949,45,208,0,611,1037,296819,0,DC,140,11001003100,11,Census Tract 31,0,0
57,3200,11001003200,0.007394731308326505,5099,1708,1877,52,217,4,748,1197,447929,0,DC,140,11001003200,11,Census Tract 32,0,0
58,3301,11001003301,0.005545685923326251,3824,1943,1234,14,174,3,113,276,442120,0,DC,140,11001003301,11,Census Tract 33.01,0,0
59,3302,11001003302,0.003529863895757347,2434,1277,738,8,99,3,94,200,204237,0,DC,140,11001003302,11,Census Tract 33.02,0,0
60,3400,11001003400,0.007425186173491216,5120,2078,1923,23,462,16,185,482,911458,159593,DC,140,11001003400,11,Census Tract 34,0,0
61,3500,11001003500,0.006962562269322525,4801,2091,1593,54,387,8,256,604,382021,0,DC,140,11001003500,11,Census Tract 35,0,0
62,3600,11001003600,0.006924856245785265,4775,2186,1373,18,274,5,387,795,305616,0,DC,140,11001003600,11,Census Tract 36,0,0
63,3701,11001003701,0.004228875562871169,2916,1400,546,46,143,0,354,737,172840,0,DC,140,11001003701,11,Census Tract 37.01,0,0
64,3702,11001003702,0.004214373246126069,2906,1006,1111,21,137,4,360,642,119532,0,DC,140,11001003702,11,Census Tract 37.02,0,0
65,3801,11001003801,0.0026104170141180052,1800,1191,217,1,117,0,66,252,148928,0,DC,140,11001003801,11,Census Tract 38.01,0,0
66,3802,11001003802,0.005671856079008622,3911,2103,658,40,296,0,385,816,207186,0,DC,140,11001003802,11,Census Tract 38.02,0,0
67,3901,11001003901,0.003767701890376988,2598,1646,340,6,186,2,136,373,120715,0,DC,140,11001003901,11,Census Tract 39.01,0,0
68,3902,11001003902,0.002932368445859226,2022,1445,161,10,117,1,72,226,266513,11205,DC,140,11001003902,11,Census Tract 39.02,0,0
69,4001,11001004001,0.005715363029243922,3941,3049,137,12,206,5,109,425,271037,2414,DC,140,11001004001,11,Census Tract 40.01,0,0
70,4002,11001004002,0.00477271244081242,3291,2455,190,7,199,2,113,319,194755,0,DC,140,11001004002,11,Census Tract 40.02,0,0
71,4100,11001004100,0.004112857028910368,2836,2105,120,3,282,2,74,249,788701,7303,DC,140,11001004100,11,Census Tract 41,0,0
72,4201,11001004201,0.0051454219811614904,3548,2677,195,5,262,0,63,334,204529,0,DC,140,11001004201,11,Census Tract 42.01,0,0
73,4202,11001004202,0.004133160272353508,2850,2145,113,5,244,1,71,279,207646,0,DC,140,11001004202,11,Census Tract 42.02,0,0
74,4300,11001004300,0.006433227708126373,4436,2748,834,16,270,7,203,484,236694,0,DC,140,11001004300,11,Census Tract 43,0,0
75,4401,11001004401,0.0049742946435693105,3430,2309,358,15,344,3,89,308,246895,0,DC,140,11001004401,11,Census Tract 44.01,0,0
76,4402,11001004402,0.003995388263275058,2755,1719,488,2,174,0,75,262,274746,0,DC,140,11001004402,11,Census Tract 44.02,0,0
77,4600,11001004600,0.00513817082278894,3543,1462,1530,7,177,3,104,271,437422,0,DC,140,11001004600,11,Census Tract 46,0,0
78,4702,11001004702,0.005705211407522352,3934,2269,777,8,423,8,78,343,326418,0,DC,140,11001004702,11,Census Tract 47.02,0,0
79,4703,11001004703,0.00483072170779282,3331,1641,803,6,482,3,90,358,124124,0,DC,140,11001004703,11,Census Tract 47.03,0,0
80,4704,11001004704,0.0028207006069219556,1945,91,1710,7,51,0,12,60,198509,0,DC,140,11001004704,11,Census Tract 47.04,0,0
81,4801,11001004801,0.004089653322118208,2820,1555,759,7,169,2,84,226,317222,0,DC,140,11001004801,11,Census Tract 48.01,0,0
82,4802,11001004802,0.005270141905169351,3634,1265,1550,17,407,0,171,342,288793,0,DC,140,11001004802,11,Census Tract 48.02,0,0
83,4901,11001004901,0.00490178305984381,3380,1708,1009,18,156,3,220,435,271866,0,DC,140,11001004901,11,Census Tract 49.01,0,0
84,4902,11001004902,0.0050018490453850005,3449,1749,782,15,270,1,303,587,263879,0,DC,140,11001004902,11,Census Tract 49.02,0,0
85,5001,11001005001,0.002917866129114126,2012,1432,203,8,102,4,68,196,200969,0,DC,140,11001005001,11,Census Tract 50.01,0,0
86,5003,11001005003,0.0031078464784749364,2143,1307,376,10,193,0,78,211,94136,0,DC,140,11001005003,11,Census Tract 50.03,0,0
87,5004,11001005004,0.005599344495283122,3861,1697,789,79,280,2,610,1037,143156,0,DC,140,11001005004,11,Census Tract 50.04,0,0
88,5202,11001005202,0.00494238954673009,3408,2347,349,16,275,6,124,338,246292,0,DC,140,11001005202,11,Census Tract 52.02,0,0
89,5203,11001005203,0.004320240158365299,2979,1914,275,12,348,1,137,393,93419,0,DC,140,11001005203,11,Census Tract 52.03,0,0
90,5302,11001005302,0.0036516833564161875,2518,1904,122,8,176,0,78,236,117635,0,DC,140,11001005302,11,Census Tract 53.02,0,0
91,5303,11001005303,0.0046624948335496595,3215,2127,310,6,380,3,89,332,168769,0,DC,140,11001005303,11,Census Tract 53.03,0,0
92,5501,11001005501,0.003339883546396537,2303,1596,122,4,306,1,42,230,164749,0,DC,140,11001005501,11,Census Tract 55.01,0,0
93,5502,11001005502,0.004304287609945689,2968,2055,298,3,257,0,86,293,251302,0,DC,140,11001005502,11,Census Tract 55.02,0,0
94,5503,11001005503,0.0036139773328789275,2492,1835,58,0,330,0,31,189,213338,4682,DC,140,11001005503,11,Census Tract 55.03,0,0
95,5601,11001005601,0.004205671856079008,2900,1787,123,10,625,2,95,298,185309,1275,DC,140,11001005601,11,Census Tract 56.01,0,0
96,5602,11001005602,0.005945949865491012,4100,2611,303,18,724,0,111,390,273491,6261,DC,140,11001005602,11,Census Tract 56.02,0,0
97,5801,11001005801,0.002424787359780725,1672,951,82,1,464,0,20,116,232951,0,DC,140,11001005801,11,Census Tract 58.01,0,0
98,5802,11001005802,0.0031107469418239562,2145,1332,294,0,234,0,65,192,682488,0,DC,140,11001005802,11,Census Tract 58.02,0,0
99,5900,11001005900,0.003795256292192678,2617,1612,438,7,301,0,58,238,641993,0,DC,140,11001005900,11,Census Tract 59,0,0
100,6400,11001006400,0.0035980247844593174,2481,609,1646,21,33,2,33,127,691410,243648,DC,140,11001006400,11,Census Tract 64,0,0
101,6500,11001006500,0.0037836544387965976,2609,2102,113,0,158,8,34,149,509297,0,DC,140,11001006500,11,Census Tract 65,0,0
102,6600,11001006600,0.0031383013436396463,2164,1762,97,17,93,3,32,113,285156,0,DC,140,11001006600,11,Census Tract 66,0,0
103,6700,11001006700,0.005695059785800782,3927,3044,298,6,157,3,53,212,428358,0,DC,140,11001006700,11,Census Tract 67,0,0
104,6801,11001006801,0.0032456184875533866,2238,1192,765,0,76,1,37,124,244750,0,DC,140,11001006801,11,Census Tract 68.01,0,0
105,6802,11001006802,0.0037415977202358078,2580,1523,678,2,74,0,35,164,280108,0,DC,140,11001006802,11,Census Tract 68.02,0,0
106,6804,11001006804,0.0035226127373847974,2429,323,1934,0,24,1,126,198,1542277,477741,DC,140,11001006804,11,Census Tract 68.04,0,0
107,6900,11001006900,0.0040591984569534985,2799,1878,535,6,113,1,30,144,398513,0,DC,140,11001006900,11,Census Tract 69,0,0
108,7000,11001007000,0.003911274826153478,2697,1932,333,8,106,3,88,248,439473,0,DC,140,11001007000,11,Census Tract 70,0,0
109,7100,11001007100,0.00466684552857319,3218,1369,1442,8,123,4,59,189,602223,149901,DC,140,11001007100,11,Census Tract 71,0,0
110,7201,11001007201,0.004328941548412359,2985,1944,541,8,153,0,51,254,781457,312419,DC,140,11001007201,11,Census Tract 72.01,0,0
111,7202,11001007202,0.006240346895416543,4303,3226,449,12,227,2,65,302,183977,0,DC,140,11001007202,11,Census Tract 72.02,0,0
112,7203,11001007203,0.005435468316063491,3748,2279,887,17,198,9,82,251,384178,0,DC,140,11001007203,11,Census Tract 72.03,0,0
113,7301,11001007301,0.005570339861792921,3841,2401,551,25,139,8,172,612,4684643,5139082,DC,140,11001007301,11,Census Tract 73.01,0,0
114,7304,11001007304,0.006395521684589113,4410,112,4099,5,26,1,33,95,1232841,8983,DC,140,11001007304,11,Census Tract 73.04,0,0
115,7401,11001007401,0.0018258416782080938,1259,19,1163,0,6,0,15,43,1209113,200980,DC,140,11001007401,11,Census Tract 74.01,0,0
